 Тег (H1),ID в админке,inlinks (Куда) Перелинковка,Верхняя перелинковка,Ссылка с главной,"Базовая частота ""W""","Базовая частота ""W"" в месяц",Наличие курсов,Стаус,Раздел,SEO,URL,Символьный код,Title,Description,H1,ТЗ на текст,Статус SEO,Текст,Статус вплетение интентов,Статус текст,Графика,Статус графики,Видео,КМ,Статус публикации,Проверяющий,Статус страницы,Коммментрий,Индексирование,Автор,ТЗ на улучшение,ID Родительского листинга,Outlinks (Откуда) Каталог,Inlinks (Куда) Каталог
Курсы профориентации,853,,,,28 188,2 349,TRUE,Активна,Саморазвитие,Иван,https://kursy.ru/samorazvitie/proforientatsiya/,proforientatsiya,Курсы профориентации для школьников и взрослых онлайн,"Откройте свой путь в карьере с курсами профориентации от ведущих учебных заведений. Найдите идеальный курс, который поможет вам понять свои сильные стороны и интересы, и сделайте важный шаг к выбору профессии.",Курсы по профориентации,,Готово,Курсы по профоринентации,Готово,Готово,,,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,741,Обучение саморазвитию,
Курсы стресс менеджмент,842,,,,1 128,,TRUE,Активна,Саморазвитие,Сергей Маз,https://kursy.ru/samorazvitie/stress-menedzhment/,stress-menedzhment,Курсы стресс-менеджмента: рейтинг-обучения на  [current_year] год,Список актуальных курсов и обучающих программ по управлению стрессом. Подборка онлайн-обучений по стресс-менеджменту. Ознакомьтесь с отзывами и условиями дистанционного обучения.,Курсы стресс-менеджмента,Курсы стресс менеджмент,Готово,Курсы стресс-менеджмента.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,741,Обучение саморазвитию,
Курсы +по философии,856,,,,45 418,,TRUE,Активна,Саморазвитие,Сергей Маз,https://kursy.ru/samorazvitie/filosofiya/,filosofiya,Курсы по философии - рейтинг-обучения на [current_year] год,Онлайн-курсы по философии от различных онлайн школ. Выберете учебную программу сравнив цены и рейтинг. Актуальные курсы и обучение на [current_year] год.,Курсы по философии,Курсы по философии,Готово,Курсы по философии.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,741,Обучение саморазвитию,
Курсы критического мышления,870,,,,8 782,,TRUE,Активна,Саморазвитие,Сергей Маз,https://kursy.ru/samorazvitie/kriticheskoe-myshlenie/,kriticheskoe-myshlenie,Курсы по  критическому мышлению: рейтинг онлайн-обучение ,"Сравните различные образовательные программы по развитию критического мышления. Подборка онлайн курсов. Предложения с описанием, ценами и отзывами специально для вас.",Курсы  критического мышления,Курсы по критическому мышлению,Готово,Критическое мышление курс.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,741,Обучение саморазвитию,
Курсы ментальной арифметики,871,,,,20 074,,TRUE,Активна,Саморазвитие,Сергей Маз,https://kursy.ru/samorazvitie/mentalnaya-arifmetika/,mentalnaya-arifmetika,Курсы ментальной арифметики - для педагогов онлайн,"Подборка курсов по ментальной арифметики. Сравните предложения онлайн-обучение от различных школ. Рейтинг, отзывы и цена на  [current_year] год.",Курсы ментальной арифметики,Курсы ментальной арифметики,Готово,Курс ментальная арифметика.docx,Готово,Готово,kursy-mentalnoj-arifmetiki.webp,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,741,Обучение саморазвитию,
Курсы по литературе,867,,,,953 947,,TRUE,Активна,Саморазвитие,Ваня Б,https://kursy.ru/samorazvitie/literatura/,literatura,Курсы по литературе: обучение школьников с нуля,Список актуальных курсов по изучению литературы. Подборка обучений от различных онлайн-школ. Ознакомьтесь с отзывами и условиями дистанционного обучения на [current_year] год.,Курсы по литературе,Курсы по литературе,Готово,Курсы по литературе.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,741,Обучение саморазвитию,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Курсы спорту и физической культуре,759,,,TRUE,13 476,1 123,TRUE,Активна,Спорт,,https://kursy.ru/sport/,sport,Обучение спорту и физической культуре  - спортивные курсы онлайн,"Онлайн-курсы в области спорта и физической культуры. Ознакомьтесь с программами обучения, тренерами и специалистами. Получите новые знания и востребованную профессию.",Курсы спорту и физической культуре,https://docs.google.com/document/d/1dw7iikkQ75Xt5E4AKYIqfvQyJgGDh3pXs_N3QhIN6Gw/edit,Готово,https://docs.google.com/document/d/1zAyvNKel35lJBuIEP07-DrkT3-wfSmvVb0AAB2_Sc0g/edit,Не в работе,Готово,https://drive.google.com/file/d/1W90T8B6u1fhkwVixkLgwJUFc0HOr3DvR/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,,Главная,
Обучение шахматам,769,,,TRUE,151 653,12 638,TRUE,Активна,Спорт,,https://kursy.ru/sport/shahmaty/,shahmaty,Курсы по шахматам - обучение для начинающих в лучших онлайн-школах ,Онлайн курсы по шахматам для начинающих с нуля. Подберите для себя подходящий курс. Научитесь играть как профессионал и развивайте логическое мышление.,Курсы по шахматам,https://docs.google.com/document/d/1OS5w-JBYIBH7KorCIAvyKaIgolnVP94VAYvwZ-TUlwI/edit,Готово,https://docs.google.com/document/d/1fwY2_b4l3jdRphgYQIKLShfmz_7dnxI7wQINFqkx-90/edit#heading=h.5g23c58jbgp,Не в работе,Готово,https://drive.google.com/file/d/17c9qHmmwB2GrINu0zA9UEiY4yJ1UNDCG/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
Курсы фитнес тренера,768,,,TRUE,64 859,5 405,TRUE,Активна,Спорт,,https://kursy.ru/sport/fitnes-trener/,fitnes-trener,Курсы фитнес-тренеров и инструкторов - обучение онлайн с сертификатом,Обучение на фитнес тренера для начинающих. Ознакомьтесь с программами обучения известных преподавателей. Пройдите курс и станьте специалистом в этой сфере.,Курсы фитнес-тренера,https://docs.google.com/document/d/1EI6hl2GPxdGLxgT1uN5AycE6-fzzTh7qrL_TUVghLdE/edit,Готово,https://docs.google.com/document/d/1LnshW-ykgHQhHerK-rPx7zUQqCwFlxeJ8m_2lHbj83M/edit,Не в работе,Готово,https://drive.google.com/file/d/1PzDgRswJt8XGvZrzo92podJnQKyc_3K9/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
Курсы йоги,761,,,TRUE,53 273,4 439,TRUE,Активна,Спорт,,https://kursy.ru/sport/yoga/,yoga,Курсы йоги - обучение для начинающих онлайн ,Онлайн курсы йоги для начинающих. Подберите для себя подходящую программу обучения. Научитесь отвлекаться от проблем и от ненужных мыслей. ,Курсы йоги,https://docs.google.com/document/d/1-vyrT2CXndYtpsMiovhHmjUGzF6I5siYF7_sKp7X92Y/edit,Готово,https://docs.google.com/document/d/1TTYjvN3pe6Qk3mCRj4j3BbF8ODankdgnLvL_-3-4tdo/edit,Не в работе,Готово,https://drive.google.com/file/d/1FanltKATiyhW8thLEUE9JToym0rDeQtX/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
Курсы по киберспорту,763,,,TRUE,3 075,256,TRUE,Активна,Спорт,,https://kursy.ru/sport/kibersport/,kibersport,Обучение киберспорту - онлайн-курсы в сфере игровой индустрии,Онлайн-курсы по киберспорту для начинающий. Подберите для себя интересную программу обучения и станьте профессионалом в игровой индустрии.,Курсы киберспорта,https://docs.google.com/document/d/1J0vWCb2dZtisK9macjJA5SZJPO9qlYEObENC0tY-7r4/edit,Готово,https://docs.google.com/document/d/1kOVQZ1xyNTvBHto5LRamfH4OQuOwu0zElU7Cj7vdJPM/edit,Не в работе,Готово,https://drive.google.com/file/d/1O4bKk0lNk5rzadbX_3dtd5N4csyxuMOv/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
Курсы по Доте 2,760,,,FALSE,1 924,160,TRUE,Активна,Спорт,,https://kursy.ru/sport/dota2/,dota2,Курсы Дота 2- обучение с нуля до PRO в [current_year] году,Мы подобрали для вас лучшие курсы по игре Dota 2 (Дота 2) для начинающих и опытных игроков. Начните обучение и повышайте свой скилл. Сделайте большой шаг в сторону вашей киберспортивной карьеры.,Курсы Дота 2,https://docs.google.com/document/d/1h_8T8ureLFs80I19fhsnugU5WE2f_ClxSWdk9ytRWZ0/edit,Готово,https://docs.google.com/document/d/1lqPEUmi0McDAnMtXAxLMxUs15ip_onJU1ztY9gAVjgA/edit,Не в работе,Готово,https://drive.google.com/file/d/1zrKWqxfRBSPbJf9v8WTUvveL2GSSf16k/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,763,Курсы киберспорта,
Курсы спортивного журналиста,764,,,FALSE,576,48,TRUE,Активна,Спорт,,https://kursy.ru/sport/sportivnyy-zhurnalist/,sportivnyy-zhurnalist,Курсы спортивного журналиста - обучение профессии в лучших онлайн-школах,Онлайн-обучение на спортивного журналиста для начинающих. Ознакомьтесь с отзывами пользователей и подберите подходящий для себя курс. Освойте новую специальность и станьте профессиональным.,Курсы спортивного журналиста,https://docs.google.com/document/d/1BI1sd2UM7oAAuFVaYEnyDDh2br-b7tFm4E7N0hWMgcE/edit?usp=sharing,Готово,https://docs.google.com/document/d/1TF7W5kUUMjDxf9pxRVjg_940W_0LCg0syB6YMtZX__c/edit,Не в работе,Готово,https://drive.google.com/file/d/1b5thax9-owpDPwZ6CjQqGtdAjFJO5TzH/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
Курсы спортивного маркетинга,766,,,FALSE,206,17,TRUE,Активна,Спорт,,https://kursy.ru/sport/sportivnyj-marketing/,sportivnyj-marketing,Маркетинг в спорте - курсы и программы обучения для начинающих,Курсы маркетинга в спорте для начинающих. Актуальные условия и реальные отзывы учеников. Обучение в лучших онлайн-школах интернета.,Курсы спортивного маркетинга,https://docs.google.com/document/d/1Ia6mnrm91eaKm1CMF1iwA0F3AraxKWe-b3_BSea1q_U/edit,Готово,https://docs.google.com/document/d/1CMBnH71P5iycEx8RNhT8JLGbY-aKWpOYOK-SKidW0gY/edit,Не в работе,Готово,https://drive.google.com/file/d/1oEHC3DfQE4RedWF4J9aNGbQ0LR3tbHkQ/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
Курсы фитнес для детей,767,,,FALSE,491,41,FALSE,Не активна,Спорт,,https://kursy.ru/sport/fitnes-dlya-detey/,fitnes-dlya-detey,Курсы детского фитнеса онлайн - обучение инмтрукторов дистанционно,Онлайн-курсы фитнеса для детей. Выберете подходящий предложение. Обучение в дистанционной форме. Реальные отзывы и оценки от учеников.,Курсы фитнеса для детей,https://docs.google.com/document/d/1oA3vw51OGI14XWhtcDW6lwbVoDONpy__ReGAVOX_dTg/edit?usp=sharing,Готово,https://docs.google.com/document/d/1yMtfB5VeekHq38LSXv8jmL8ccfsMw3p6aOPH8hy4kYg/edit,Не в работе,Готово,,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,768,Курсы фитнес тренера,
Курсы йога для детей,762,,,FALSE,437,36,FALSE,Не активна,Спорт,,https://kursy.ru/sport/yoga-dlya-detey/,yoga-dlya-detey,Курсы йоги для детей - обучение для инструкторов онлайн,Мы подобрали лучшие онлайн-курсы инструкторов йоги для детей. Сравните и выберете подходящее предложение. Качественная программа и индивидуальный подход к каждому ученику.,Курсы йоги для детей,https://docs.google.com/document/d/1KsMiVpIbwEMU7-yvVi4nNOoqyiKm0r8PGx5zXWIb_2o/edit?usp=sharing,Готово,https://docs.google.com/document/d/1LXAeHWSbqAWvddzepcsmDjfg6MSb6i8MAf5LUvuHYb8/edit#,Не в работе,Готово,https://drive.google.com/file/d/1EO-tzJtNZnU9I4Nwwg9KjOTX3VIl58zg/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,761,Курсы йоги,
Курсы спортивного комментатора ,765,,,FALSE,228,19,TRUE,Не активна,Спорт,,https://kursy.ru/sport/sportivnyj-kommentator/,sportivnyj-kommentator,Школа комментаторов - курсы спортивной журналистики онлайн,Курсы на спортивного комментатора для начинающих. Ознакомьтесь с отзывами пользователей и подберите для себя подходящую программу обучения.,Курсы спортивного комментатора ,https://docs.google.com/document/d/1Xp4xF6EugsvjbvXmVgwGkXzedeFbSphVg_5A7joN2rw/edit,Готово,https://docs.google.com/document/d/1K7BJ9967mvctBoqtvd935utlp9mhkxc-nhdR4r4sArs/edit,Не в работе,Готово,https://drive.google.com/file/d/1FesWkH8OY_dOrgzEsUlepiEGxbI92Rxb/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Сергей Михнеев,,759,Курсы спорту и физической культуре,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Курсы творчества и контента,770,,,TRUE,0,0,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/,tvorchestvo-i-kontent,Курсы для творческих людей - обучение профессиям онлайн,"Курсы для тех, кто хочет раскрыть свой потенциал в сфере творчества. Получите необходимые навыки, чтобы построить карьеру и начать зарабатывать на любимом деле.",Курсы творчества и контента,https://docs.google.com/document/d/1aQauGqecu8u2XWAEtueN7rcZssX4xdAOV2G7Js2waVs/edit,Готово,https://docs.google.com/document/d/1ddkZ7c2rPusQcWWqlhUHaHqUEOY_wsdHjdKBwy4hNOU/edit,Не в работе,Готово,https://drive.google.com/file/d/1pkJRpR1Qc1M9lTgxS9B6j7es7ssWOhPV/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,,Главная,
Курсы фотографа,809,,,TRUE,165 377,13 781,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/fotograf/,fotograf,Курсы фотографа для начинающих - обучение онлайн с нуля ,Курсы фотографов в лучших онлайн-школах страны. Обучение с нуля до профессионального уровня. Стань специалистом по фотографии и преврати хобби в заработок.,Курсы фотографа,https://docs.google.com/document/d/1gLpYjpqrOHDQcv1G7OYCCkoTRVloHfSUAchB_Z9A-U4/edit,Готово,https://docs.google.com/document/d/1nMwy5TTr0T6FY5spQC764hK65jlg0vLm/edit?usp=sharing&ouid=101696688685301662623&rtpof=true&sd=true,Не в работе,Готово,https://drive.google.com/file/d/1FELnDLE6gXW--5Ftm_9El5EP9VztU8lh/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы актерского мастерства,776,,,FALSE,94 551,7 879,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/akterskoe-masterstvo/,akterskoe-masterstvo,Курсы актерского мастерства - обучение онлайн для начинающих,Обучение актерскому мастерству в дистанционном формате. Онлайн-курсы для тех кто хочет выступать на сцене или просто чувствовать себя увереннее на публике.,Курсы актерского мастерства,https://docs.google.com/document/d/1BLtkjSvqJ7biW7VjZNoIFbK5Dp-6TgXaiSffIW7TKtE/edit,Готово,https://docs.google.com/document/d/1lAhTPcOGoLpglQqNMFhPNoOq_9jqlF9UIjaZOqVvBuA/edit,Не в работе,Готово,https://drive.google.com/file/d/1yGvR7eSJW66_nVIGIMLGSFinWkpXWRM_/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы каллиграфии,785,,,FALSE,82 705,6 892,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/kalligrafiya/,kalligrafiya,Курсы каллиграфии - обучение красивому почерку онлайн ,Онлайн-курсы по каллиграфии и леттерингу. Обучитесь искусству почерка с лучшими преподавателями. Реальные отзывы и оценки от учеников. ,Курсы каллиграфии,https://docs.google.com/document/d/1xzual3GOSwVDvqQAEAHBd4f-OOFT3-yvJRz3cFyKKRE/edit?usp=sharing,Готово,https://docs.google.com/document/d/1f988uCyX4nmLxQcYjnoxaRXDiy1iW0U4RIclQ_V_Puo/edit#heading=h.176tv7we77m,Не в работе,Готово,https://drive.google.com/file/d/1zVOPbm1PjvYzoaMrAPb4FvBRP4To96SO/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,770,Курсы творчества и контента,
Курсы танцев,807,,,FALSE,54 108,4 509,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/tantsy/,tantsy,Обучение танцам для начинающих - курсы для взрослых и детей,Обучение танцам для начинающих. Курсы лучших онлайн-школ. Разучивай движения и отрабатывай их вместе с топовыми преподавателями на удобной платформе.,Курсы танцев,https://docs.google.com/document/d/1Z0MPuFJF2zNi_DOCVP2uk2uQNJmTVJRwTo7ecg1QTzY/edit,Готово,https://docs.google.com/document/d/12NP4sDPUJavOfIZ-9sEJIoJHkeHUdHYYQFVVlckpwUI/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/19r8qiORWj6VMOnSFb7xmpdaSd3g3Fsnw/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы редакторов,796,,,FALSE,46 862,3 905,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/redaktura/,redaktura,Курсы редакторов с обучением в онлайн-школах с нуля,Курсы редакторов онлайн. На обучении вы научитесь решать задачи бизнеса с помощью контента - от создания текстов до аналитики. А также сможете начать работать на себя.,Курсы редакторов,https://docs.google.com/document/d/1DeJWxu3NoRTMWc5ttIoewFvjOGukJX8uyx249pP57AI/edit,Готово,https://docs.google.com/document/d/1Lom37smUZS_26TNCBgFf1jH9kFnMwKmjTkKzj3n0tmg/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1kM4Kq2l250WCKBQkjwsLEfn1bhgiypY1/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы сценаристов,806,,,FALSE,27 351,2 279,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/stsenarist/,stsenarist,Курсы сценаристов с обучением в онлайн-школах с нуля,"Онлайн-курсы сценаристов и режиссеров. Обучение подойдет для тех, кто всегда мечтал написать сценарий для своего фильма или сделать это для других.",Курсы для сценаристов,https://docs.google.com/document/d/1xaJf8IMnETA7pNbFvtwbj1pNQ6s730YT0D2R6smO8yY/edit,Готово,https://docs.google.com/document/d/1UsGbATQPmzaK0SzKVZozOQ2wYfRPPPfSIWtwLtGVPBs/edit,Не в работе,Готово,https://drive.google.com/file/d/1_1X8bcdYJCeEzvAFfxb6WbSZG85XUNoD/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы блогеров,777,,,FALSE,20 707,1 726,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/bloging/,bloging,Курсы блогеров - обучение в лучших онлайн-школах с нуля,"Курсы блогеров в лучших онлайн-школах. Обучение для тех, кто хочет начать вести свой блог: писать сценарии роликов, уверенно выглядеть в кадре, делать красивые фото и посты.",Курсы для блогеров,https://docs.google.com/document/d/1GikDK18ffLOWdAmcJDJyyini2BU9q0iaYsL6mmOEskg/edit,Готово,https://docs.google.com/document/d/1TRZ0q4Tk4STo1OI1WiVzoK7KH_ntw3bV59-2s-X6r7Y/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1htMJsLxzrv17YNIE_fXTPrkziCdU7uL_/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы режиссуры,797,,,FALSE,17 931,1 494,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/rezhissura/,rezhissura,"Курсы режиссуры с обучением онлайн для: кино, театра и телевидения","Курсы режиссуры для кино и театра. Обучение онлайн для тех, кто не может тратить время на очное обучение. Подойдут тем, кто хочет работать в киноиндустрии.",Курсы режиссуры,https://docs.google.com/document/d/1QR7nViclJrkGCRmgJ9xZOlYcLxBvOJjDpwBFXYZCbww/edit,Готово,https://docs.google.com/document/d/1zc5KkYxaZ0xvpdP7cyUpLlk6roy7MpuAbC3ctAWS5nE/edit,Не в работе,Готово,https://drive.google.com/file/d/1AzwF201lCbWCH99axNhVzoqZQfss1_v9/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы писательского мастерства,792,,,FALSE,11 174,931,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/pisatelskoe-masterstvo/,pisatelskoe-masterstvo,Курсы писательского мастерства - обучение онлайн для начинающих,"Курсы писательского мастерства для начинающих и не только. Обучение для тех, кто давно мечтал стать писателем или просто хочет улучшить свои навыки письма.",Курсы писательского мастерства,https://docs.google.com/document/d/1whHlTn9W1VV0-CsiTjBex2KNOLWqluBjDNHNhG76Tqg/edit,Готово,https://docs.google.com/document/d/1pzpHPiDRvFu-I8jHFck55GhEvB0039G1tVnWUSKORZs/edit,Не в работе,Готово,https://drive.google.com/file/d/1ICF2F5DRBW03yChSXQrDJKXDVXsuA-6G/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы стриминга,805,,,FALSE,1 983,165,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/striming/,striming,Курсы стримера - обучение в лучших онлайн-школах с нуля,Онлайн-курсы стримера. Пройдите обучение по стримингу и становитесь ведущим прямых эфиров и трансляций. Зарабатывайте на эфирах продвигая свой канал.,Курсы стриминга,https://docs.google.com/document/d/1hnLWI5aCZe8B003brn3p-zA8Q8BmpmEUWEyvCVKGv_Y/edit,Готово,https://docs.google.com/document/d/1G8fHiAHfg-Lls-CQXKV_tAKi6uC7c4O57sRQ6l60rug/edit,Не в работе,Готово,https://drive.google.com/file/d/1dyi1GPr5LqUFPIcKt6G3QsKdWqdw7tbk/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы по созданию музыки,804,,,TRUE,8 732,728,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/sozdanie-muzyki/,sozdanie-muzyki,Курсы по созданию музыки - обучение написанию песен с нуля,"Обучение созданию музыки в лучших онлайн-школах. Курсы по сонграйтингу, звукорежиссуре и продюсированию музыкальных проектов. Актуальные условия и отзывы учеников.",Курсы по созданию музыки,https://docs.google.com/document/d/16CJ0wXuc2S-MiGDQQjOTJTnXEqctuCLf1aWoAUpZuik/edit,Готово,https://docs.google.com/document/d/1rS4187ZOodXSXogyFAhrNTGVF1V-FZ0_5TTm7uMiEmE/edit,Не в работе,Готово,https://drive.google.com/file/d/11KZdITErigOG2A7RJQSJ2Evg345mLXpL/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,770,Курсы творчества и контента,
Курсы вокала,782,,,TRUE,138 672,11 556,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/vokal/,vokal,Обучение вокалу - курсы для взрослых и детей онлайн,"Обучение вокалу для начинающих. Онлайн-курсы с теоретическими и практическими занятиями. Подойдут тем кто давно хотел, но не решался начать петь. ",Курсы вокала,https://docs.google.com/document/d/1i1dg6hz9s0V95YFlZPveVSZ5opoJMA_os79Cw3iS5mw/edit,Готово,https://docs.google.com/document/d/1xNA7fEUknifZQYy0WBDwhxB32aolIz8LpkwknyG95Qo/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/12jysvI5h4v29QbNi2NkaDC-3dTuF74Um/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,804,Курсы по созданию музыки,
Курсы диджеинга,783,,,FALSE,12 634,1 053,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/didzheing/,didzheing,Курсы диджеинга - обучение онлайн для начинающих с нуля,Мы подобрали лучшие онлайн-курсы диджеинга для начинающих. Обучитесь воспроизведению музыки для живой аудитории вместе с профессиональными преподавателями.,Курсы диджеинга,https://docs.google.com/document/d/1DOH2LHEbJBza1iFF6CnOBUFvcX58f230X7s89sz1UAk/edit?usp=sharing,Готово,https://docs.google.com/document/d/1SsB76thPoxdks2xi_wdxII-rBuVByJAAcPO0jj9wdU0/edit,Не в работе,Готово,https://drive.google.com/file/d/18oO847Vb7EcqZfvhtgCd8xF7oQkX2Q-d/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,804,Курсы по созданию музыки,
Курсы звукорежиссера,784,,,FALSE,10 065,839,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/zvukorezhissura/,zvukorezhissura,Обучение звукорежиссуре - курсы саунд-дизайна онлайн,Онлайн-курс по обучению звукорежиссуре. Стань специалистом в работе со звуком. Начни зарабатывать на своем хобби сотрудничая с популярными музыкантами.,Курсы звукорежиссера,https://docs.google.com/document/d/1Ze8d8YvVEvnW17AkLHny95LXY5uRg-5c0_RIohtF2dI/edit,Готово,https://docs.google.com/document/d/10urYteovX2bV3ac4Ps-Y02Mj2RM7gT6CGQjeSN8s0Mc/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1Sb0D67elyoAn5g5X1-W0d34VAULZTCNZ/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,804,Курсы по созданию музыки,
Курсы FL Studio,773,,,FALSE,8 053,671,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/fl-studio/,fl-studio,Курсы FL Studio - обучение с нуля онлайн ,Мы подобрали для вас лучшие онлай-курсы по FL Studio. Обучитесь работе в цифровой звуковой станции и создавайте свою мызыку. Реальные оценки и отзывы учеников.,Курсы FL Studio,https://docs.google.com/document/d/1bJAmMx38lDPHgMo2Eti7QQBbFBU4zsEkyzmF_h4uOdY/edit?usp=sharing,Готово,https://docs.google.com/document/d/10AxKi7XAkP9txFut64DcdbhllQ0v8hWZ6N3i2vIwGpg/edit,Не в работе,Готово,https://drive.google.com/file/d/1jpMNhcuOn3_x_yQr7jMUHP-s-ux0idpv/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,804,Курсы по созданию музыки,
Курсы электронной музыки,811,,,FALSE,6 590,549,TRUE,Активна,Творчество и контент,,https://kursy.ru/tvorchestvo-i-kontent/elektronnaya-muzyka/,elektronnaya-muzyka,Курсы электронной музыки - обучение написанию треков онлайн,"Онлайн-курсы по созданию электронной музыки. Обучение работе с различными программами, техникой и музыкальными проектами. Преврати свое хобби в любимую работу.",Курсы электронной музыки,https://docs.google.com/document/d/1nPqEtoYZAcoMncYJkqJ5LMQdgU0CG6IhEgZnDfI__hM/edit,Готово,https://docs.google.com/document/d/1uz-nnp5CCOoFVwsjns3rHMmH1DSC0mSOTleRooXwuSI/edit,Не в работе,Готово,https://drive.google.com/file/d/16Bz-k1FsAWYHkfCHbrcGCX_yYUHtD7QG/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,804,Курсы по созданию музыки,
